task_index,task_id,subset,sample_index,description,video_a,video_b
0,T0000,spatial_temporal,0,"punching # 0.0 # 2.75 # left arm # right arm
straight-forward-flexion # 2.75 # 5.5 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0000_A_spatial_temporal_0000.mp4,mp4/T0000_B_spatial_temporal_0000.mp4
1,T0001,spatial_temporal,0,"punching # 0.0 # 2.75 # left arm # right arm
straight-forward-flexion # 2.75 # 5.5 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0001_A_spatial_temporal_0000.mp4,mp4/T0001_B_spatial_temporal_0000.mp4
2,T0002,spatial_temporal,0,"punching # 0.0 # 2.75 # left arm # right arm
straight-forward-flexion # 2.75 # 5.5 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0002_A_spatial_temporal_0000.mp4,mp4/T0002_B_spatial_temporal_0000.mp4
3,T0003,spatial_temporal,1,"raising-hand-and-jumping # 0.0 # 2.64 # head # left arm # legs # right arm # spine
pinching-back # 2.64 # 5.39 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0003_A_spatial_temporal_0001.mp4,mp4/T0003_B_spatial_temporal_0001.mp4
4,T0004,spatial_temporal,1,"raising-hand-and-jumping # 0.0 # 2.64 # head # left arm # legs # right arm # spine
pinching-back # 2.64 # 5.39 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0004_A_spatial_temporal_0001.mp4,mp4/T0004_B_spatial_temporal_0001.mp4
5,T0005,spatial_temporal,1,"raising-hand-and-jumping # 0.0 # 2.64 # head # left arm # legs # right arm # spine
pinching-back # 2.64 # 5.39 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0005_A_spatial_temporal_0001.mp4,mp4/T0005_B_spatial_temporal_0001.mp4
6,T0006,spatial_temporal,2,"standing-toe-touches # 0.0 # 2.65 # head # left arm # legs # right arm # spine
marking-time-and-knee-lifting # 2.65 # 5.4 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0006_A_spatial_temporal_0002.mp4,mp4/T0006_B_spatial_temporal_0002.mp4
7,T0007,spatial_temporal,2,"standing-toe-touches # 0.0 # 2.65 # head # left arm # legs # right arm # spine
marking-time-and-knee-lifting # 2.65 # 5.4 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0007_A_spatial_temporal_0002.mp4,mp4/T0007_B_spatial_temporal_0002.mp4
8,T0008,spatial_temporal,2,"standing-toe-touches # 0.0 # 2.65 # head # left arm # legs # right arm # spine
marking-time-and-knee-lifting # 2.65 # 5.4 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0008_A_spatial_temporal_0002.mp4,mp4/T0008_B_spatial_temporal_0002.mp4
9,T0009,spatial_temporal,3,"single-dumbbell-raising # 0.0 # 2.73 # left arm # right arm
standing-gastrocnemius-calf # 2.73 # 5.03 # head # left arm # legs # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0009_A_spatial_temporal_0003.mp4,mp4/T0009_B_spatial_temporal_0003.mp4
